pedido_id,fecha,cliente_id,cliente_nombre,ciudad,region,producto_id,producto_nombre,categoria,cantidad,precio_unitario,importe,canal,metodo_pago,valoracion
PED202430,2025-01-02,C100219,Cliente 0220,Vigo,Norte,P013,Lámpara escritorio,Hogar,1,30.19,30.19,App móvil,Transferencia,4.0
PED203866,2025-01-02,C100150,Cliente 0151,Palma,Levante,P002,Cargador USB-C,Electrónica,1,35.9,35.9,App móvil,PayPal,4.0
PED206993,2025-01-02,C100309,Cliente 0310,Barcelona,Cataluña,P021,Camiseta algodón,Moda,3,158.21,474.63,Web,PayPal,5.0
PED210126,2025-01-02,C100216,Cliente 0217,Madrid,Centro,P021,Camiseta algodón,Moda,1,149.79,149.79,Web,PayPal,5.0
PED201152,2025-01-02,C100110,Cliente 0111,Valencia,Levante,P005,Altavoz portátil,Electrónica,2,86.91,173.82,Web,Tarjeta,4.0
PED201188,2025-01-02,C100161,Cliente 0162,Málaga,Andalucía,P011,Cafetera cápsulas,Hogar,1,151.64,151.64,App móvil,PayPal,5.0
PED205980,2025-01-02,C100251,Cliente 0252,Bilbao,Norte,P020,Reloj deportivo,Deporte,4,160.65,642.6,Marketplace,PayPal,
PED201235,2025-01-02,C100025,Cliente 0026,Málaga,Andalucía,P011,Cafetera cápsulas,Hogar,2,158.37,316.74,Web,Tarjeta,5.0
PED206223,2025-01-02,C100326,Cliente 0327,Valencia,Levante,P028,Agenda 2026,Papelería,4,86.04,344.16,App móvil,Tarjeta,4.0
PED207869,2025-01-02,C100054,Cliente 0055,Bilbao,Norte,P007,Webcam HD,Electrónica,2,135.18,270.36,App móvil,Tarjeta,3.0
PED211454,2025-01-02,C100078,Cliente 0079,Zaragoza,Centro,P026,Cuaderno A5,Papelería,4,33.9,135.6,Web,Tarjeta,5.0
PED200721,2025-01-02,C100010,Cliente 0011,Zaragoza,Centro,P004,Teclado mecánico,Electrónica,1,120.91,120.91,Web,Contra reembolso,
PED208077,2025-01-02,C100242,Cliente 0243,Madrid,Centro,P012,Set sábanas,Hogar,1,30.49,30.49,Web,Transferencia,4.0
PED203350,2025-01-02,C100252,Cliente 0253,Barcelona,Cataluña,P003,Ratón inalámbrico,Electrónica,2,99.14,198.28,Web,PayPal,
PED204701,2025-01-02,C100276,Cliente 0277,Bilbao,Norte,P020,Reloj deportivo,Deporte,1,160.16,160.16,App móvil,Tarjeta,
PED200978,2025-01-02,C100329,Cliente 0330,Zaragoza,Centro,P021,Camiseta algodón,Moda,1,159.38,159.38,App móvil,Tarjeta,4.0
PED201867,2025-01-03,C100212,Cliente 0213,Murcia,Levante,P009,Bombilla inteligente,Hogar,5,95.22,476.1,Marketplace,PayPal,5.0
PED200140,2025-01-03,C100028,Cliente 0029,Zaragoza,Centro,P009,Bombilla inteligente,Hogar,2,89.91,179.82,Web,PayPal,4.0
PED203837,2025-01-03,C100102,Cliente 0103,Palma,Levante,P005,Altavoz portátil,Electrónica,2,80.9,161.8,Web,PayPal,5.0
PED205760,2025-01-03,C100047,Cliente 0048,Palma,Levante,P020,Reloj deportivo,Deporte,1,164.49,164.49,Web,Tarjeta,5.0
PED205468,2025-01-03,C100122,Cliente 0123,Málaga,Andalucía,P002,Cargador USB-C,Electrónica,5,41.07,205.35,Web,PayPal,5.0
PED205296,2025-01-03,C100074,Cliente 0075,Málaga,Andalucía,P013,Lámpara escritorio,Hogar,5,27.2,136.0,App móvil,Tarjeta,4.0
PED210390,2025-01-03,C100130,Cliente 0131,Zaragoza,Centro,P014,Organizador armario,Hogar,1,20.96,20.96,Marketplace,Tarjeta,4.0
PED200476,2025-01-03,C100318,Cliente 0319,Vigo,Norte,P002,Cargador USB-C,Electrónica,3,32.75,98.25,Web,Tarjeta,3.0
PED202473,2025-01-03,C100325,Cliente 0326,Valencia,Levante,P019,Banda elástica,Deporte,1,59.88,59.88,App móvil,Tarjeta,3.0
PED206444,2025-01-03,C100318,Cliente 0319,Vigo,Norte,P030,Rotuladores 24u,Papelería,1,137.28,137.28,Web,Tarjeta,4.0
PED206451,2025-01-03,C100264,Cliente 0265,Vigo,Norte,P024,Gafas de sol,Moda,4,68.56,274.24,Web,Tarjeta,
PED209595,2025-01-03,C100346,Cliente 0347,Vigo,Norte,P015,Esterilla yoga,Deporte,1,115.94,115.94,Web,PayPal,
PED200533,2025-01-03,C100186,Cliente 0187,Barcelona,Cataluña,P030,Rotuladores 24u,Papelería,2,146.08,292.16,Web,Tarjeta,5.0
PED209551,2025-01-03,C100195,Cliente 0196,Madrid,Centro,P006,Powerbank 10000mAh,Electrónica,1,92.48,92.48,Web,PayPal,
PED205597,2025-01-03,C100251,Cliente 0252,Bilbao,Norte,P004,Teclado mecánico,Electrónica,5,108.85,544.25,Web,Contra reembolso,2.0
PED200012,2025-01-03,C100121,Cliente 0122,Málaga,Andalucía,P006,Powerbank 10000mAh,Electrónica,2,95.68,191.36,Marketplace,Transferencia,5.0
PED205653,2025-01-03,C100114,Cliente 0115,Zaragoza,Centro,P005,Altavoz portátil,Electrónica,2,92.3,184.6,Web,Tarjeta,4.0
PED202028,2025-01-03,C100158,Cliente 0159,Zaragoza,Centro,P013,Lámpara escritorio,Hogar,3,25.11,75.33,Web,Tarjeta,2.0
PED209695,2025-01-03,C100232,Cliente 0233,Madrid,Centro,P008,"Monitor 24""",Electrónica,1,158.25,158.25,Web,PayPal,2.0
PED204409,2025-01-03,C100262,Cliente 0263,Valencia,Levante,P004,Teclado mecánico,Electrónica,2,115.64,231.28,Marketplace,Tarjeta,2.0
PED211557,2025-01-03,C100140,Cliente 0141,Vigo,Norte,P011,Cafetera cápsulas,Hogar,1,158.84,158.84,App móvil,Tarjeta,5.0
PED206306,2025-01-03,C100065,Cliente 0066,Sevilla,Andalucía,P022,Sudadera capucha,Moda,2,60.84,121.68,Web,Tarjeta,4.0
PED208785,2025-01-03,C100166,Cliente 0167,Sevilla,Andalucía,P012,Set sábanas,Hogar,3,24.53,73.59,App móvil,Tarjeta,4.0
PED200789,2025-01-03,C100163,Cliente 0164,Bilbao,Norte,P017,Botella térmica,Deporte,3,155.55,466.65,Web,Contra reembolso,
PED200861,2025-01-03,C100152,Cliente 0153,Vigo,Norte,P007,Webcam HD,Electrónica,1,125.19,125.19,App móvil,Tarjeta,5.0
PED202456,2025-01-04,C100085,Cliente 0086,Murcia,Levante,P020,Reloj deportivo,Deporte,1,170.35,170.35,App móvil,Tarjeta,
PED210026,2025-01-04,C100314,Cliente 0315,Valencia,Levante,P004,Teclado mecánico,Electrónica,5,98.1,490.5,App móvil,Tarjeta,5.0
PED208789,2025-01-04,C100001,Cliente 0002,Murcia,Levante,P022,Sudadera capucha,Moda,2,58.76,117.52,Web,Tarjeta,5.0
PED210087,2025-01-04,C100126,Cliente 0127,Madrid,Centro,P014,Organizador armario,Hogar,1,22.97,22.97,Marketplace,Tarjeta,
PED208620,2025-01-04,C100274,Cliente 0275,Bilbao,Norte,P017,Botella térmica,Deporte,2,131.64,263.28,Web,PayPal,4.0
PED201640,2025-01-04,C100275,Cliente 0276,Bilbao,Norte,P030,Rotuladores 24u,Papelería,1,134.47,134.47,App móvil,Tarjeta,4.0
PED210141,2025-01-04,C100305,Cliente 0306,Barcelona,Cataluña,P013,Lámpara escritorio,Hogar,4,26.16,104.64,Web,Tarjeta,4.0
PED200085,2025-01-04,C100137,Cliente 0138,Madrid,Centro,P024,Gafas de sol,Moda,2,64.36,128.72,Web,Tarjeta,5.0
PED200084,2025-01-04,C100169,Cliente 0170,Madrid,Centro,P003,Ratón inalámbrico,Electrónica,2,105.88,211.76,Web,Tarjeta,5.0
PED207551,2025-01-04,C100258,Cliente 0259,Barcelona,Cataluña,P007,Webcam HD,Electrónica,2,158.34,316.68,Web,PayPal,4.0
PED210630,2025-01-04,C100262,Cliente 0263,Valencia,Levante,P008,"Monitor 24""",Electrónica,3,145.76,437.28,App móvil,Transferencia,4.0
PED203294,2025-01-04,C100253,Cliente 0254,Sevilla,Andalucía,P023,Mochila urbana,Moda,1,68.65,68.65,App móvil,PayPal,4.0
PED211495,2025-01-04,C100165,Cliente 0166,Palma,Levante,P006,Powerbank 10000mAh,Electrónica,4,89.7,358.8,Web,Contra reembolso,3.0
PED205315,2025-01-04,C100095,Cliente 0096,Valencia,Levante,P018,Zapatillas running,Deporte,1,111.33,111.33,App móvil,Tarjeta,2.0
PED208228,2025-01-04,C100286,Cliente 0287,Barcelona,Cataluña,P007,Webcam HD,Electrónica,2,150.71,301.42,Web,Contra reembolso,
PED211323,2025-01-04,C100156,Cliente 0157,Barcelona,Cataluña,P004,Teclado mecánico,Electrónica,2,96.72,193.44,Web,Transferencia,1.0
PED206974,2025-01-04,C100179,Cliente 0180,Zaragoza,Centro,P023,Mochila urbana,Moda,1,75.03,75.03,Web,Tarjeta,4.0
PED204124,2025-01-04,C100204,Cliente 0205,Bilbao,Norte,P024,Gafas de sol,Moda,5,69.72,348.6,Web,Transferencia,
PED208930,2025-01-04,C100069,Cliente 0070,Bilbao,Norte,P002,Cargador USB-C,Electrónica,1,35.16,35.16,App móvil,PayPal,5.0
PED208110,2025-01-04,C100198,Cliente 0199,Sevilla,Andalucía,P010,Robot aspirador,Hogar,1,107.59,107.59,Web,Tarjeta,4.0
PED211562,2025-01-04,C100322,Cliente 0323,Málaga,Andalucía,P001,Auriculares BT,Electrónica,1,104.08,104.08,Marketplace,Tarjeta,5.0
PED201885,2025-01-04,C100114,Cliente 0115,Zaragoza,Centro,P026,Cuaderno A5,Papelería,2,29.3,58.6,Marketplace,Tarjeta,5.0
PED204536,2025-01-04,C100152,Cliente 0153,Vigo,Norte,P028,Agenda 2026,Papelería,1,89.47,89.47,Web,Tarjeta,4.0
PED207801,2025-01-05,C100079,Cliente 0080,Málaga,Andalucía,P022,Sudadera capucha,Moda,2,49.64,99.28,Web,Tarjeta,5.0
PED206966,2025-01-05,C100320,Cliente 0321,Sevilla,Andalucía,P017,Botella térmica,Deporte,1,135.44,135.44,Web,Tarjeta,5.0
PED207228,2025-01-05,C100070,Cliente 0071,Murcia,Levante,P017,Botella térmica,Deporte,3,135.19,405.57,Marketplace,PayPal,5.0
PED206117,2025-01-05,C100108,Cliente 0109,Bilbao,Norte,P016,Mancuernas 5kg,Deporte,1,73.88,73.88,Web,Tarjeta,4.0
PED208248,2025-01-05,C100328,Cliente 0329,Barcelona,Cataluña,P001,Auriculares BT,Electrónica,3,128.05,384.15,App móvil,Tarjeta,3.0
PED201441,2025-01-05,C100195,Cliente 0196,Madrid,Centro,P018,Zapatillas running,Deporte,3,111.6,334.8,Web,Tarjeta,3.0
PED200429,2025-01-05,C100314,Cliente 0315,Valencia,Levante,P019,Banda elástica,Deporte,5,71.16,355.8,Web,Tarjeta,
PED203928,2025-01-05,C100337,Cliente 0338,Sevilla,Andalucía,P015,Esterilla yoga,Deporte,4,129.05,516.2,App móvil,Tarjeta,2.0
PED204958,2025-01-05,C100257,Cliente 0258,Barcelona,Cataluña,P024,Gafas de sol,Moda,3,63.15,189.45,Web,PayPal,5.0
PED206165,2025-01-05,C100067,Cliente 0068,Sevilla,Andalucía,P027,Set bolígrafos,Papelería,1,170.39,170.39,Web,PayPal,5.0
PED205394,2025-01-05,C100122,Cliente 0123,Málaga,Andalucía,P001,Auriculares BT,Electrónica,4,111.89,447.56,Web,Tarjeta,3.0
PED200518,2025-01-05,C100070,Cliente 0071,Murcia,Levante,P027,Set bolígrafos,Papelería,1,165.14,165.14,Marketplace,PayPal,5.0
PED205083,2025-01-05,C100319,Cliente 0320,Murcia,Levante,P010,Robot aspirador,Hogar,2,118.12,236.24,App móvil,Tarjeta,4.0
PED203600,2025-01-05,C100277,Cliente 0278,Murcia,Levante,P024,Gafas de sol,Moda,5,60.17,300.85,Marketplace,Contra reembolso,5.0
PED209301,2025-01-05,C100275,Cliente 0276,Bilbao,Norte,P013,Lámpara escritorio,Hogar,4,29.79,119.16,Web,Tarjeta,
PED209221,2025-01-05,C100170,Cliente 0171,Barcelona,Cataluña,P005,Altavoz portátil,Electrónica,2,98.85,197.7,Web,Tarjeta,4.0
PED202638,2025-01-05,C100021,Cliente 0022,Sevilla,Andalucía,P018,Zapatillas running,Deporte,3,128.69,386.07,App móvil,Contra reembolso,5.0
PED200414,2025-01-06,C100295,Cliente 0296,Zaragoza,Centro,P029,Mochila portátil,Papelería,5,70.3,351.5,Marketplace,Tarjeta,5.0
PED200771,2025-01-06,C100157,Cliente 0158,Zaragoza,Centro,P010,Robot aspirador,Hogar,1,111.54,111.54,Web,PayPal,4.0
PED201046,2025-01-06,C100243,Cliente 0244,Málaga,Andalucía,P001,Auriculares BT,Electrónica,5,104.36,521.8,Web,Transferencia,5.0
PED209171,2025-01-06,C100202,Cliente 0203,Bilbao,Norte,P018,Zapatillas running,Deporte,3,126.27,378.81,Web,Contra reembolso,5.0
PED202964,2025-01-06,C100284,Cliente 0285,Bilbao,Norte,P005,Altavoz portátil,Electrónica,1,86.78,86.78,Web,Tarjeta,4.0
PED210427,2025-01-06,C100287,Cliente 0288,Zaragoza,Centro,P028,Agenda 2026,Papelería,2,76.85,153.7,Web,Tarjeta,4.0
PED201682,2025-01-06,C100330,Cliente 0331,Zaragoza,Centro,P005,Altavoz portátil,Electrónica,2,86.29,172.58,Marketplace,PayPal,5.0
PED204007,2025-01-06,C100062,Cliente 0063,Sevilla,Andalucía,P025,Cinturón cuero,Moda,1,35.65,35.65,Web,Tarjeta,3.0
PED207208,2025-01-06,C100130,Cliente 0131,Zaragoza,Centro,P015,Esterilla yoga,Deporte,1,114.47,114.47,Web,Tarjeta,4.0
PED206824,2025-01-06,C100012,Cliente 0013,Murcia,Levante,P023,Mochila urbana,Moda,1,75.93,75.93,App móvil,PayPal,3.0
PED204842,2025-01-06,C100213,Cliente 0214,Bilbao,Norte,P010,Robot aspirador,Hogar,1,126.57,126.57,Web,Contra reembolso,
PED203370,2025-01-06,C100053,Cliente 0054,Bilbao,Norte,P003,Ratón inalámbrico,Electrónica,1,117.06,117.06,App móvil,PayPal,4.0
PED211083,2025-01-06,C100097,Cliente 0098,Málaga,Andalucía,P019,Banda elástica,Deporte,1,70.9,70.9,App móvil,Tarjeta,4.0
PED211578,2025-01-06,C100059,Cliente 0060,Málaga,Andalucía,P026,Cuaderno A5,Papelería,5,28.93,144.65,Web,PayPal,5.0
PED208364,2025-01-06,C100305,Cliente 0306,Barcelona,Cataluña,P030,Rotuladores 24u,Papelería,5,134.34,671.7,Web,Tarjeta,4.0
PED203061,2025-01-07,C100288,Cliente 0289,Zaragoza,Centro,P028,Agenda 2026,Papelería,3,89.47,268.41,App móvil,PayPal,4.0
PED205830,2025-01-07,C100124,Cliente 0125,Palma,Levante,P023,Mochila urbana,Moda,1,76.58,76.58,Web,Tarjeta,3.0
PED205119,2025-01-07,C100337,Cliente 0338,Sevilla,Andalucía,P021,Camiseta algodón,Moda,5,145.19,725.95,Web,Tarjeta,5.0
PED203038,2025-01-07,C100104,Cliente 0105,Murcia,Levante,P030,Rotuladores 24u,Papelería,1,129.19,129.19,Web,PayPal,5.0
PED211265,2025-01-07,C100101,Cliente 0102,Barcelona,Cataluña,P030,Rotuladores 24u,Papelería,2,129.44,258.88,Web,Transferencia,4.0
PED201002,2025-01-07,C100070,Cliente 0071,Murcia,Levante,P008,"Monitor 24""",Electrónica,2,160.24,320.48,Web,Tarjeta,5.0
PED205390,2025-01-07,C100325,Cliente 0326,Valencia,Levante,P003,Ratón inalámbrico,Electrónica,1,117.05,117.05,Web,Tarjeta,5.0
PED208915,2025-01-07,C100283,Cliente 0284,Bilbao,Norte,P021,Camiseta algodón,Moda,1,158.16,158.16,App móvil,PayPal,3.0
PED210102,2025-01-07,C100101,Cliente 0102,Barcelona,Cataluña,P029,Mochila portátil,Papelería,1,80.6,80.6,Marketplace,Transferencia,4.0
PED200309,2025-01-07,C100003,Cliente 0004,Bilbao,Norte,P025,Cinturón cuero,Moda,4,31.34,125.36,App móvil,PayPal,2.0
PED211870,2025-01-07,C100075,Cliente 0076,Bilbao,Norte,P002,Cargador USB-C,Electrónica,1,40.7,40.7,App móvil,Tarjeta,5.0
PED210489,2025-01-07,C100233,Cliente 0234,Murcia,Levante,P017,Botella térmica,Deporte,4,142.52,570.08,Web,Tarjeta,
PED205993,2025-01-07,C100260,Cliente 0261,Murcia,Levante,P005,Altavoz portátil,Electrónica,1,85.43,85.43,Web,Tarjeta,
PED204027,2025-01-07,C100028,Cliente 0029,Zaragoza,Centro,P016,Mancuernas 5kg,Deporte,1,71.17,71.17,Web,PayPal,2.0
PED208438,2025-01-08,C100155,Cliente 0156,Málaga,Andalucía,P002,Cargador USB-C,Electrónica,3,40.11,120.33,Web,PayPal,4.0
PED205986,2025-01-08,C100103,Cliente 0104,Madrid,Centro,P014,Organizador armario,Hogar,1,21.23,21.23,Web,Transferencia,
PED203143,2025-01-08,C100052,Cliente 0053,Sevilla,Andalucía,P023,Mochila urbana,Moda,4,71.99,287.96,Web,PayPal,3.0
PED200040,2025-01-08,C100073,Cliente 0074,Barcelona,Cataluña,P025,Cinturón cuero,Moda,2,36.66,73.32,Web,Tarjeta,
PED205675,2025-01-08,C100189,Cliente 0190,Sevilla,Andalucía,P030,Rotuladores 24u,Papelería,5,129.76,648.8,App móvil,Tarjeta,
PED200921,2025-01-08,C100177,Cliente 0178,Barcelona,Cataluña,P017,Botella térmica,Deporte,2,133.1,266.2,App móvil,Tarjeta,5.0
PED209849,2025-01-08,C100181,Cliente 0182,Barcelona,Cataluña,P001,Auriculares BT,Electrónica,1,124.61,124.61,Marketplace,Tarjeta,5.0
PED204317,2025-01-08,C100181,Cliente 0182,Barcelona,Cataluña,P029,Mochila portátil,Papelería,1,82.71,82.71,Web,PayPal,4.0
PED211385,2025-01-08,C100290,Cliente 0291,Palma,Levante,P003,Ratón inalámbrico,Electrónica,5,99.1,495.5,Web,PayPal,4.0
PED205155,2025-01-08,C100214,Cliente 0215,Murcia,Levante,P003,Ratón inalámbrico,Electrónica,1,105.04,105.04,App móvil,Tarjeta,4.0
PED200029,2025-01-08,C100226,Cliente 0227,Palma,Levante,P001,Auriculares BT,Electrónica,1,129.16,129.16,Web,Tarjeta,5.0
PED209172,2025-01-08,C100291,Cliente 0292,Valencia,Levante,P019,Banda elástica,Deporte,4,57.76,231.04,Marketplace,Transferencia,5.0
PED204677,2025-01-08,C100208,Cliente 0209,Valencia,Levante,P007,Webcam HD,Electrónica,3,149.42,448.26,Web,Tarjeta,3.0
PED205881,2025-01-08,C100281,Cliente 0282,Bilbao,Norte,P008,"Monitor 24""",Electrónica,1,144.79,144.79,Web,Transferencia,4.0
PED206756,2025-01-08,C100252,Cliente 0253,Barcelona,Cataluña,P027,Set bolígrafos,Papelería,1,172.11,172.11,Web,Tarjeta,4.0
PED203632,2025-01-08,C100286,Cliente 0287,Barcelona,Cataluña,P029,Mochila portátil,Papelería,1,70.52,70.52,App móvil,PayPal,
PED207849,2025-01-08,C100041,Cliente 0042,Murcia,Levante,P007,Webcam HD,Electrónica,4,143.23,572.92,App móvil,Transferencia,4.0
PED211198,2025-01-09,C100254,Cliente 0255,Málaga,Andalucía,P023,Mochila urbana,Moda,2,63.74,127.48,App móvil,PayPal,5.0
PED211161,2025-01-09,C100197,Cliente 0198,Barcelona,Cataluña,P022,Sudadera capucha,Moda,3,51.37,154.11,Marketplace,Tarjeta,1.0
PED200078,2025-01-09,C100233,Cliente 0234,Murcia,Levante,P019,Banda elástica,Deporte,3,67.81,203.43,Web,Tarjeta,3.0
PED200360,2025-01-09,C100190,Cliente 0191,Málaga,Andalucía,P009,Bombilla inteligente,Hogar,1,94.42,94.42,App móvil,Tarjeta,
PED202342,2025-01-09,C100207,Cliente 0208,Vigo,Norte,P001,Auriculares BT,Electrónica,3,121.78,365.34,Marketplace,Tarjeta,4.0
PED203285,2025-01-09,C100002,Cliente 0003,Málaga,Andalucía,P012,Set sábanas,Hogar,2,27.1,54.2,App móvil,PayPal,3.0
PED207231,2025-01-09,C100336,Cliente 0337,Vigo,Norte,P024,Gafas de sol,Moda,1,69.66,69.66,App móvil,Tarjeta,4.0
PED210324,2025-01-09,C100161,Cliente 0162,Málaga,Andalucía,P030,Rotuladores 24u,Papelería,1,134.95,134.95,Marketplace,Contra reembolso,4.0
PED206820,2025-01-09,C100256,Cliente 0257,Málaga,Andalucía,P022,Sudadera capucha,Moda,1,49.85,49.85,Web,Tarjeta,3.0
PED207858,2025-01-09,C100340,Cliente 0341,Málaga,Andalucía,P025,Cinturón cuero,Moda,5,34.44,172.2,App móvil,Tarjeta,5.0
PED203469,2025-01-09,C100340,Cliente 0341,Málaga,Andalucía,P014,Organizador armario,Hogar,5,20.31,101.55,Web,Tarjeta,
PED208075,2025-01-09,C100004,Cliente 0005,Bilbao,Norte,P007,Webcam HD,Electrónica,2,158.25,316.5,App móvil,Tarjeta,5.0
PED205766,2025-01-09,C100178,Cliente 0179,Vigo,Norte,P027,Set bolígrafos,Papelería,1,152.9,152.9,Web,Tarjeta,4.0
PED207683,2025-01-09,C100192,Cliente 0193,Málaga,Andalucía,P009,Bombilla inteligente,Hogar,1,102.26,102.26,Web,Tarjeta,
PED200277,2025-01-09,C100161,Cliente 0162,Málaga,Andalucía,P008,"Monitor 24""",Electrónica,1,156.16,156.16,Web,Tarjeta,5.0
PED206728,2025-01-09,C100194,Cliente 0195,Vigo,Norte,P004,Teclado mecánico,Electrónica,3,98.6,295.8,Web,Tarjeta,
PED204381,2025-01-10,C100234,Cliente 0235,Bilbao,Norte,P007,Webcam HD,Electrónica,2,143.8,287.6,Web,Tarjeta,4.0
PED210611,2025-01-10,C100115,Cliente 0116,Zaragoza,Centro,P009,Bombilla inteligente,Hogar,5,99.31,496.55,App móvil,Tarjeta,4.0
PED203343,2025-01-10,C100175,Cliente 0176,Bilbao,Norte,P022,Sudadera capucha,Moda,5,48.36,241.8,App móvil,Tarjeta,4.0
PED208230,2025-01-10,C100183,Cliente 0184,Málaga,Andalucía,P018,Zapatillas running,Deporte,5,133.55,667.75,Web,PayPal,4.0
PED205520,2025-01-10,C100336,Cliente 0337,Vigo,Norte,P003,Ratón inalámbrico,Electrónica,4,114.71,458.84,App móvil,Tarjeta,3.0
PED205381,2025-01-10,C100252,Cliente 0253,Barcelona,Cataluña,P009,Bombilla inteligente,Hogar,2,88.01,176.02,Web,Tarjeta,4.0
PED208920,2025-01-10,C100023,Cliente 0024,Vigo,Norte,P010,Robot aspirador,Hogar,5,103.93,519.65,Web,Transferencia,5.0
PED204170,2025-01-10,C100012,Cliente 0013,Murcia,Levante,P008,"Monitor 24""",Electrónica,1,165.29,165.29,App móvil,Transferencia,4.0
PED210563,2025-01-10,C100118,Cliente 0119,Valencia,Levante,P022,Sudadera capucha,Moda,1,50.63,50.63,Web,Transferencia,3.0
PED207748,2025-01-10,C100286,Cliente 0287,Barcelona,Cataluña,P015,Esterilla yoga,Deporte,2,136.41,272.82,Web,Transferencia,4.0
PED209432,2025-01-10,C100193,Cliente 0194,Sevilla,Andalucía,P006,Powerbank 10000mAh,Electrónica,2,98.59,197.18,Web,PayPal,3.0
PED206841,2025-01-10,C100267,Cliente 0268,Sevilla,Andalucía,P012,Set sábanas,Hogar,1,26.46,26.46,App móvil,Transferencia,5.0
PED206374,2025-01-10,C100330,Cliente 0331,Zaragoza,Centro,P023,Mochila urbana,Moda,5,77.39,386.95,Marketplace,Tarjeta,5.0
PED208871,2025-01-10,C100304,Cliente 0305,Zaragoza,Centro,P021,Camiseta algodón,Moda,1,134.45,134.45,Web,Tarjeta,5.0
PED206838,2025-01-10,C100040,Cliente 0041,Barcelona,Cataluña,P002,Cargador USB-C,Electrónica,2,39.63,79.26,Web,PayPal,5.0
PED206466,2025-01-10,C100033,Cliente 0034,Zaragoza,Centro,P023,Mochila urbana,Moda,3,69.35,208.05,App móvil,PayPal,4.0
PED206960,2025-01-10,C100212,Cliente 0213,Murcia,Levante,P023,Mochila urbana,Moda,1,64.85,64.85,Web,Tarjeta,4.0
PED208524,2025-01-10,C100117,Cliente 0118,Barcelona,Cataluña,P025,Cinturón cuero,Moda,3,31.58,94.74,Web,Tarjeta,5.0
PED202375,2025-01-10,C100176,Cliente 0177,Murcia,Levante,P007,Webcam HD,Electrónica,1,137.14,137.14,Marketplace,Tarjeta,4.0
PED200128,2025-01-10,C100125,Cliente 0126,Zaragoza,Centro,P023,Mochila urbana,Moda,3,75.62,226.86,Web,Tarjeta,3.0
